gene,log2.fold_change.,value_1,value_2,locus,sample_1,sample_2,status,test_stat,p_value,q_value,significant,fpkm5,fpkm10
Slc40a1,3.99221,22.8697,363.943,chr1:45908069-45925594,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.0443,5.00E-05,0.000250321,yes,2,2
Gbp8,3.98053,0.844005,13.3231,chr5:105014152-105053561,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.59128,5.00E-05,0.000250321,yes,1,1
Hebp1,3.95424,3.24518,50.3018,chr6:135137518-135168215,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.5671,5.00E-05,0.000250321,yes,1,1
Myo10,3.93873,1.30228,19.97,chr15:25622549-25813671,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.071,5.00E-05,0.000250321,yes,1,1
Rab3il1,3.93743,2.66275,40.7959,chr19:10018227-10035586,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.5609,5.00E-05,0.000250321,yes,1,1
Mmp14,3.87591,1.34491,19.7451,chr14:54431603-54441258,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.5384,5.00E-05,0.000250321,yes,1,1
Plxna1,3.81819,1.36815,19.2985,chr6:89316313-89362613,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,12.1822,5.00E-05,0.000250321,yes,1,1
Il18bp,3.81395,2.16851,30.4982,chr7:102015076-102018155,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.7347,5.00E-05,0.000250321,yes,1,1
Cela1,3.80824,2.75035,38.5286,chr15:100674421-100687920,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.71033,5.00E-05,0.000250321,yes,1,1
Aqp1,3.75965,3.21867,43.5958,chr6:55336298-55348555,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.7106,5.00E-05,0.000250321,yes,1,1
Hmox1,3.75822,78.269,1059.08,chr8:75093617-75100593,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.53284,5.00E-05,0.000250321,yes,2,2
Abcb4,3.72273,0.789367,10.4215,chr5:8893720-8959226,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.88388,5.00E-05,0.000250321,yes,1,1
Klf1,3.64688,1.53997,19.2901,chr8:84901927-84905295,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.04788,5.00E-05,0.000250321,yes,1,1
Rgl1,3.63438,3.32228,41.2565,chr1:152517529-152625111,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,11.7274,5.00E-05,0.000250321,yes,1,1
Pld3,3.60547,27.4127,333.661,chr7:27532017-27553112,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.6467,5.00E-05,0.000250321,yes,2,2
Scn1b,3.57204,0.935026,11.1203,chr7:31116523-31126945,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.82534,5.00E-05,0.000250321,yes,1,1
Ms4a7,3.5649,4.54915,53.8358,chr19:11321038-11336146,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.4668,5.00E-05,0.000250321,yes,1,1
Ces2g,3.52046,1.42693,16.3744,chr8:104961717-104969537,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.47682,5.00E-05,0.000250321,yes,1,1
P2ry13,3.49017,1.83951,20.6703,chr3:59006977-59344256,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.24865,5.00E-05,0.000250321,yes,1,1
Adcy3,3.39833,1.05964,11.1727,chr12:4133396-4240123,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.98473,5.00E-05,0.000250321,yes,1,1
Fam213b,3.36594,8.08212,83.3245,chr4:154896429-154899043,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.776,5.00E-05,0.000250321,yes,2,1
Siglec1,3.2326,7.20754,67.7479,chr2:131069219-131086765,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.4639,5.00E-05,0.000250321,yes,2,1
Maged1,3.19718,2.03943,18.7049,chrX:94535473-94542074,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.05183,5.00E-05,0.000250321,yes,1,1
Cbr2,3.17402,3.6106,32.5878,chr11:120729484-120732021,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.23091,5.00E-05,0.000250321,yes,1,1
Ctsf,3.01825,1.39014,11.2628,chr19:4855128-4860912,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.49222,5.00E-05,0.000250321,yes,1,1
Ephx1,3.01074,4.01017,32.3211,chr1:180989555-181017495,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.70937,5.00E-05,0.000250321,yes,1,1
Maf,2.99682,4.10036,32.7307,chr8:115703252-115706894,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.0399,5.00E-05,0.000250321,yes,1,1
Asb2,2.94041,1.96696,15.099,chr12:103321141-103356001,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.37602,5.00E-05,0.000250321,yes,1,1
Mpzl1,2.91534,2.57847,19.4522,chr1:165592180-165634541,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.2103,5.00E-05,0.000250321,yes,1,1
Ttyh2,2.89258,1.41192,10.4849,chr11:114344525-114757886,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,1.71981,0.01045,0.0279291,yes,1,1
Lmna,2.87703,2.95281,21.6924,chr3:88481147-88503352,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.40629,5.00E-05,0.000250321,yes,1,1
Slc15a2,2.8727,1.55335,11.3773,chr16:36750163-36784962,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.0743,5.00E-05,0.000250321,yes,1,1
Serpinb6a,2.82101,17.4297,123.169,chr13:33917917-34002794,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.18836,5.00E-05,0.000250321,yes,2,2
Slc37a2,2.76701,3.88746,26.4618,chr9:37229148-37255738,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.36659,5.00E-05,0.000250321,yes,1,1
Car2,2.74387,16.2741,109.015,chr3:14886425-14900770,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,10.03,5.00E-05,0.000250321,yes,2,2
Sdc3,2.70001,37.1964,241.705,chr4:130792536-130826318,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.42253,5.00E-05,0.000250321,yes,2,2
Clec4n,2.67753,2.69263,17.2263,chr6:123229842-123247024,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.90128,5.00E-05,0.000250321,yes,1,1
Tspan33,2.6747,1.63884,10.4641,chr6:29694213-29718558,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.96032,5.00E-05,0.000250321,yes,1,1
Tgm1,2.64481,2.48163,15.5204,chr14:55700008-55713492,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.70166,5.00E-05,0.000250321,yes,1,1
Slc45a3,2.62047,1.68486,10.361,chr1:131962914-131982972,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.38576,5.00E-05,0.000250321,yes,1,1
Frmd4b,2.59449,5.16302,31.1834,chr6:97286866-97617657,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.14141,5.00E-05,0.000250321,yes,2,1
Mt1,2.58928,17.4352,104.925,chr8:94179088-94180327,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.29143,5.00E-05,0.000250321,yes,2,2
Abca1,2.58784,3.00074,18.0404,chr4:53030788-53159895,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.01258,5.00E-05,0.000250321,yes,1,1
Jchain,2.57978,11.8816,71.0342,chr5:88519808-88527897,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,9.10812,5.00E-05,0.000250321,yes,2,2
E230029C05Rik,2.5536,2.49608,14.6544,chr7:90029158-90049071,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.78848,5.00E-05,0.000250321,yes,1,1
Acp5,2.52473,19.0633,109.703,chr9:22055459-22389206,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,3.38876,5.00E-05,0.000250321,yes,2,2
Cxcl16,2.51174,2.3675,13.502,chr11:70454233-70466199,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.07068,5.00E-05,0.000250321,yes,1,1
Dmkn,2.44794,2.47015,13.478,chr7:30763755-30781066,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.30805,5.00E-05,0.000250321,yes,1,1
Il18,2.40219,7.41543,39.1982,chr9:50565367-50581837,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.84106,5.00E-05,0.000250321,yes,2,1
Abcg3,2.38642,8.5934,44.9313,chr5:104935056-104982717,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.48541,5.00E-05,0.000250321,yes,2,1
Angptl4,2.35871,2.26974,11.6418,chr17:33774899-33781575,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.33445,5.00E-05,0.000250321,yes,1,1
Cd38,2.3219,3.85297,19.2644,chr5:43868826-43912374,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.18906,5.00E-05,0.000250321,yes,1,1
Sepp1,2.31844,176.305,879.397,chr15:3270766-3280508,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.56577,5.00E-05,0.000250321,yes,2,2
Gstm5,2.29945,2.969,14.6155,chr3:107877229-107898685,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.34214,5.00E-05,0.000250321,yes,1,1
Tmcc2,2.27512,6.14909,29.7639,chr1:132356314-132391281,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.447,5.00E-05,0.000250321,yes,2,1
Galnt3,2.25447,2.29592,10.9552,chr2:66082765-66124793,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.86095,5.00E-05,0.000250321,yes,1,1
Npl,2.2501,4.32718,20.5851,chr1:153503015-153549714,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.45721,5.00E-05,0.000250321,yes,1,1
Blvrb,2.24633,29.55,140.207,chr7:27447977-27465981,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,8.05054,5.00E-05,0.000250321,yes,2,2
Lgmn,2.24629,52.8044,250.536,chr12:102394097-102439697,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.48805,5.00E-05,0.000250321,yes,2,2
Adap2,2.23369,4.34014,20.4133,chr11:80154161-80178827,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.5783,5.00E-05,0.000250321,yes,1,1
Tns1,2.23015,2.20749,10.3572,chr1:73910230-74124449,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.90313,5.00E-05,0.000250321,yes,1,1
Fpr1,2.18976,3.24422,14.8011,chr17:17876470-17883939,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.74922,5.00E-05,0.000250321,yes,1,1
Fam213a,2.17557,3.09078,13.963,chr14:40993739-41013775,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.91,5.00E-05,0.000250321,yes,1,1
Tmem26,2.15294,2.51961,11.2055,chr10:68723745-68782654,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.8833,5.00E-05,0.000250321,yes,1,1
Fabp4,2.14376,11.0413,48.7932,chr3:10204342-10208576,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.05228,5.00E-05,0.000250321,yes,2,2
Lpl,2.14119,27.8725,122.953,chr8:68880554-68906932,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.52598,5.00E-05,0.000250321,yes,2,2
Ctsg,2.13098,161.301,706.522,chr14:56099880-56102574,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.38253,5.00E-05,0.000250321,yes,2,2
Ralgds,2.12095,2.74408,11.9362,chr2:28513166-28553082,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.75337,5.00E-05,0.000250321,yes,1,1
Sept8,2.09913,2.88749,12.3714,chr11:53519735-53544096,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.9946,5.00E-05,0.000250321,yes,1,1
Hemgn,2.09853,2.57265,11.018,chr4:46393988-46404183,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.97679,5.00E-05,0.000250321,yes,1,1
Tspan4,2.09069,9.1314,38.8954,chr7:141475235-141539857,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.10046,5.00E-05,0.000250321,yes,2,1
Mpo,2.08786,795.29,3380.91,chr11:87793783-87804412,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,2.9721,5.00E-05,0.000250321,yes,2,2
Ctsd,2.07428,314.642,1325.06,chr7:142375915-142387870,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.38159,5.00E-05,0.000250321,yes,2,2
Lap3,2.04202,13.5791,55.9214,chr5:45493373-45512691,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.45492,5.00E-05,0.000250321,yes,2,2
1810011H11Rik,2.04169,4.31784,17.7778,chr14:32785962-32817968,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.94013,5.00E-05,0.000250321,yes,1,1
Nrp2,2.00354,2.99069,11.9921,chr1:62703316-62818692,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.96109,5.00E-05,0.000250321,yes,1,1
Tgm2,1.99776,7.48747,29.9033,chr2:158116404-158146392,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.05153,5.00E-05,0.000250321,yes,2,1
Agpat3,1.99486,4.69858,18.7275,chr10:78271562-78351700,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.75528,5.00E-05,0.000250321,yes,1,1
Slc12a7,1.98654,3.00699,11.9163,chr13:73763696-73816742,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.74741,5.00E-05,0.000250321,yes,1,1
Alas2,1.98631,4.13888,16.3992,chrX:150547384-150570622,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.16485,5.00E-05,0.000250321,yes,1,1
Pparg,1.98247,9.91993,39.2004,chr6:115360950-115490401,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.76845,5.00E-05,0.000250321,yes,2,1
Acp2,1.96699,8.18799,32.011,chr2:91202911-91237066,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.85441,5.00E-05,0.000250321,yes,2,1
Itsn1,1.95937,4.49958,17.4985,chr16:91729370-91920579,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.9348,5.00E-05,0.000250321,yes,1,1
Tmem65,1.95933,8.82342,34.3127,chr15:58782268-58823427,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.1189,5.00E-05,0.000250321,yes,2,1
Mafb,1.94628,13.9473,53.75,chr2:160363676-160367065,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.15978,5.00E-05,0.000250321,yes,2,2
Wwp1,1.94001,6.61614,25.3867,chr4:19608299-19709004,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.12673,5.00E-05,0.000250321,yes,2,1
Pea15a,1.93658,14.3626,54.9796,chr1:172196728-172206781,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,7.0367,5.00E-05,0.000250321,yes,2,2
Trf,1.92169,140.936,533.962,chr9:103208875-103230286,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.08716,5.00E-05,0.000250321,yes,2,2
Aif1,1.91376,21.5789,81.3074,chr17:35170991-35176001,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.68724,5.00E-05,0.000250321,yes,2,2
Cd86,1.91346,7.26418,27.3649,chr16:36603868-36666077,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.54811,5.00E-05,0.000250321,yes,2,1
Pf4,1.90669,19.6516,73.6832,chr5:90772434-90773383,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.87199,5.00E-05,0.000250321,yes,2,2
Bcl2a1a,1.90534,3.21994,12.0618,chr9:88956919-88962416,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,4.46232,5.00E-05,0.000250321,yes,1,1
Slc7a8,1.90402,14.1489,52.953,chr14:54722214-54781886,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.7865,5.00E-05,0.000250321,yes,2,2
Fcgrt,1.89447,34.1094,126.813,chr7:45092992-45103822,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,6.66057,5.00E-05,0.000250321,yes,2,2
Tmem119,1.8873,2.77038,10.2488,chr5:113793728-113800352,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.27436,5.00E-05,0.000250321,yes,1,1
Glul,1.87514,74.9826,275.065,chr1:153899925-153909723,mBM_F4_80_GFP_minus,mBM_F4_80_GFP_plus,OK,5.67424,5.00E-05,0.000250321,yes,2,2
